annee;mois;date;jourSemaine;semaine;identifiantLigne;nomCourtLigne;typeLigne;categorieLigne;Frequentation
2023;Septembre;2023-09-04;Lundi;37;55;55;Métropolitaine;Régulières Métropolitaines;2431.76471
2023;Décembre;2023-12-28;Jeudi;53;82;82;Métropolitaine;Régulières Métropolitaines;172.94118
2023;Septembre;2023-09-16;Samedi;38;82;82;Métropolitaine;Régulières Métropolitaines;141.17647
2023;Septembre;2023-09-21;Jeudi;39;806;E4;Evènementiel;Lignes Evènementielles;1069.41176
2023;Décembre;2023-12-05;Mardi;50;73;73;Métropolitaine;Régulières Métropolitaines;1114.11765
2023;Septembre;2023-09-04;Lundi;37;91;91;Intercommunale;Régulières Métropolitaines;410.58824
2023;Décembre;2023-12-28;Jeudi;53;1002;b;Métro;METRO;49566.54578
2023;Septembre;2023-09-16;Samedi;38;124;N4;STAR de Nuit;Régulières Urbaines;149.41176
2023;Septembre;2023-09-21;Jeudi;39;1002;b;Métro;METRO;119719.408
2023;Décembre;2023-12-05;Mardi;50;74;74;Métropolitaine;Régulières Métropolitaines;1401.17647
2023;Septembre;2023-09-04;Lundi;37;152;152ex;Express;Régulières Métropolitaines;64.70588
2023;Décembre;2023-12-28;Jeudi;53;9999;9999;Non identifié;Non identifiée;4270.58824
2023;Septembre;2023-09-16;Samedi;38;125;N5;STAR de Nuit;Régulières Urbaines;29.41176
2023;Septembre;2023-09-21;Jeudi;39;9000;Parcs-Relais;Parcs-Relais;Parcs-Relais;4016.78019
2023;Décembre;2023-12-05;Mardi;50;77;77;Métropolitaine;Régulières Métropolitaines;2165.88235
2023;Septembre;2023-09-04;Lundi;37;165;165ex;Express;Régulières Métropolitaines;8.23529
2023;Décembre;2023-12-29;Vendredi;53;5;C5;CHRONOSTAR;CHRONOSTAR;6571.76471
2023;Septembre;2023-09-16;Samedi;38;172;172ex;Express;Régulières Métropolitaines;1.17647
2023;Septembre;2023-09-22;Vendredi;39;6;C6;CHRONOSTAR;CHRONOSTAR;12425.88235
2023;Décembre;2023-12-05;Mardi;50;802;b relais;Spéciale;METRO;17994.11765
2023;Septembre;2023-09-04;Lundi;37;175;175ex;Express;Régulières Métropolitaines;8.23529
2023;Décembre;2023-12-29;Vendredi;53;37;37;Inter-quartiers;Régulières Urbaines;43.52941
2023;Septembre;2023-09-16;Samedi;38;1001;a;Métro;METRO;96551.59463
2023;Septembre;2023-09-22;Vendredi;39;47;C7ex;CHRONOSTAR;CHRONOSTAR;1141.17647
2023;Décembre;2023-12-06;Mercredi;50;2;C2;CHRONOSTAR;CHRONOSTAR;14745.88235
2023;Septembre;2023-09-04;Lundi;37;1001;a;Métro;METRO;125862.87392
2023;Décembre;2023-12-29;Vendredi;53;52;52;Métropolitaine;Régulières Métropolitaines;12.94118
